requirement_id,capability,priority,evidence,understanding_status,achievability,target_phase,target_gate,implementation_status,validation_status,user_approval,main_gap,closure_plan,evidence_path,owner,validator
ARC-01,Row separate from Bar,P0,D/S/U,Confirmed,A,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Risk of UI flattening model,Schema invariants and N-bars-per-row tests,,Implementation Codex,Validation Codex
ARC-02,Multiple bars per row,P0,D,Strongly supported,B,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Exact selection and display not yet shown,Obtain multi-bar screenshot/workflow,,Implementation Codex,Validation Codex
ARC-03,Scheduled/Revised/Actual,P0,S/D,Confirmed,B,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,State transitions need rules,Formal transition table,,Implementation Codex,Validation Codex
ARC-04,Ten baselines,P0,D,Strongly supported,A,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Visual comparison not shown,Baseline-view evidence and tests,,Implementation Codex,Validation Codex
ARC-05,Stable row number and Bar ID,P0,S,Confirmed,A,P01 Architecture and governance,G-ARCH-01,NOT STARTED,NOT VALIDATED,NOT REQUIRED,Renumbering rules open,Separate immutable IDs and display numbers,,Implementation Codex,Validation Codex
UI-01,Spreadsheet + timeline,P0,S,Confirmed,A/B,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Many edge cases,Grid and timeline interaction spec,,Implementation Codex,Validation Codex
UI-02,Global Show Level,P0,S/U,Confirmed,A,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Persistence rules,Outline-state model,,Implementation Codex,Validation Codex
UI-03,Compact summary view,P0,S/U,Confirmed,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Summary mathematics,Golden summary schedules,,Implementation Codex,Validation Codex
UI-04,Continuous timeline density,P0,U/S,Confirmed,B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Anchor/zoom behaviour,Coordinate-transform tests,,Implementation Codex,Validation Codex
UI-05,Global and per-row height,P0,U/S,Confirmed,B,P04 Schedule View structure,UI-02,NOT STARTED,NOT VALIDATED,PENDING,Autofit precedence,Canonical row geometry model,,Implementation Codex,Validation Codex
UI-06,Tool-state machine,P0,S/D,Confirmed,A/B,P05 Direct manipulation,UI-03,NOT STARTED,NOT VALIDATED,PENDING,Input conflicts,Central ToolController,,Implementation Codex,Validation Codex
